citation_id,source_paper,citation_raw,doi,crossref_title,crossref_authors,crossref_year,crossref_venue,ground_truth_label,ground_truth_mapping_status,annotator,notes
1810.04805_042,1810.04805,"Adina Williams, Nikita Nangia, and Samuel R Bow- man. 2018. A broad-coverage challenge corpus for sentence understanding through inference. In NAACL.",10.1093/nq/s1-viii.205.312b,Samuel Williams,J. T.,2018,Notes and Queries,,,,
1810.04805_043,1810.04805,"Yonghui Wu, Mike Schuster, Zhifeng Chen, Quoc V",10.3138/cjc-50.1_episode1,Sibo Chen and Cary Wu,Sibo Chen; Cary Wu,2025,Canadian Journal of Communication,,,,
1810.04805_044,1810.04805,"Qin Gao, Klaus Macherey, et al. 2016. Google’s neural ma- chine translation system: Bridging the gap between human and machine translation. arXiv preprint arXiv:1609.08144.",,,,,,,,,
1810.04805_045,1810.04805,"Jason Yosinski, Jeff Clune, Yoshua Bengio, and Hod Lipson. 2014. How transferable are features in deep neural networks? In Advances in neural information processing systems, pages 3320–3328.",10.1007/s10710-017-9314-z,"Ian Goodfellow, Yoshua Bengio, and Aaron Courville: Deep learning",Jeff Heaton,2017,Genetic Programming and Evolvable Machines,,,,
1810.04805_046,1810.04805,"Adams Wei Yu, David Dohan, Minh-Thang Luong, Rui",10.1163/1570-6664_iyb_sim_person_52709,"Le Luong Minh,",,2014,International Year Book and Statesmen's Who's Who,,,,
1810.04805_047,1810.04805,"Zhao, Kai Chen, Mohammad Norouzi, and Quoc V Le. 2018. QANet: Combining local convolution with global self-attention for reading comprehen- sion. In ICLR.",10.1002/ange.201902932,David Yu‐Kai Chen,,2019,Angewandte Chemie,,,,
1810.04805_048,1810.04805,"Rowan Zellers, Yonatan Bisk, Roy Schwartz, and Yejin Choi. 2018. Swag: A large-scale adversarial dataset for grounded commonsense inference. In Proceed- ings of the 2018 Conference on Empirical Methods in Natural Language Processing (EMNLP).",10.1093/nq/s9-xii.306.375c,"""Bisk""",M. C. L.,2018,Notes and Queries,,,,
1810.04805_049,1810.04805,"Yukun Zhu, Ryan Kiros, Rich Zemel, Ruslan Salakhut- dinov, Raquel Urtasun, Antonio Torralba, and Sanja Fidler. 2015. Aligning books and movies: Towards story-like visual explanations by watching movies and reading books. In Proceedings of the IEEE international conference on computer vision, pages 19–27. Appendix for “BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding” We organize the appendix into three sections: • Additional implementation details for BERT are pre",10.1093/benz/9780199773787.article.b00201747,Zheng Yukun,,2017,Benezit Dictionary of Artists,,,,
1810.04805_050,1810.04805,"Comparison of BERT, ELMo ,and OpenAI GPT Here we studies the differences in recent popular representation learning models including ELMo, OpenAI GPT and BERT. The comparisons be- tween the model architectures are shown visually in Figure 3. Note that in addition to the architec- ture differences, BERT and OpenAI GPT are ﬁne- tuning approaches, while ELMo is a feature-based approach. The most comparable existing pre-training method to BERT is OpenAI GPT, which trains a left-to-right Transformer L",10.18653/v1/d19-1006,"How Contextual are Contextualized Word Representations? Comparing the Geometry of BERT, ELMo, and GPT-2 Embeddings",Kawin Ethayarajh,2019,Proceedings of the 2019 Conference on Empirical Methods in Natural Language Processing and the 9th International Joint Conference on Natural Language Processing (EMNLP-IJCNLP),,,,
1810.04805_051,1810.04805,"Answer: Yes, BERTBASE achieves almost 1.0% additional accuracy on MNLI when trained on 1M steps compared to 500k steps. 2. Question: Does MLM pre-training converge slower than LTR pre-training, since only 15% of words are predicted in each batch rather than every word? Answer: The MLM model does converge slightly slower than the LTR model. How- ever, in terms of absolute accuracy the MLM model begins to outperform the LTR model almost immediately. C.2 Ablation for Different Masking Procedures In",10.2307/j.ctt1bkm644.26,Yes Is the Answer,,2018,Autobiography of Jenny X,,,,
1810.04805_052,1810.04805,"The results are presented in Table 8. In the table, MASK means that we replace the target token with the [MASK] symbol for MLM; SAME means that we keep the target token as is; RND means that we replace the target token with another random token. The numbers in the left part of the table repre- sent the probabilities of the speciﬁc strategies used during MLM pre-training (BERT uses 80%, 10%, 10%). The right part of the paper represents the Dev set results. For the feature-based approach, we conca",10.5256/f1000research.10860.d154573,Source data underlying the results presented in Table 1,Peter Anderson; Virginia Berridge; Patricia Conrod; Robert Dudley; Matilda Hellman; Dirk Lachenmeier; Anne Lingford-Hughes; David Miller; Jürgen Rehm; Robin Room; Laura Schmidt; Roger Sullivan; Tamyko Ysa; Antoni Gual,2025,F1000Research Datasets,,,,
1910.13483_001,1910.13483,"[1] E. Farhi, J. Goldstone, and S. Gutmann, “A Quantum Approximate Optimization Algorithm,” arXiv e-prints, 2014, arXiv:1411.4028.",,,,2014,,,,,
1910.13483_002,1910.13483,"[2] ——, “A Quantum Approximate Optimization Algorithm Applied to a Bounded Occurrence Constraint Problem,” arXiv e-prints, 2014, arXiv:1412.6062.",,,,2014,,,,,
1910.13483_003,1910.13483,"[3] B. Barak, A. Moitra, R. O’Donnell, P. Raghavendra, O. Regev, D. Steurer, L. Trevisan, A. Vijayaraghavan, D. Witmer, and J. Wright, “Beating the Random Assignment on Constraint Satisfaction Problems of Bounded Degree,” in International Conference on Approximation Algorithms for Combinatorial Optimization Problems, APPROX’15, ser. LIPICS, vol. 40, 2015, pp. 110–123, doi:10.4230/LIPIcs.APPROX- RANDOM.2015.110.",,,,2015,,,,,
1910.13483_004,1910.13483,"[4] S. Hadﬁeld, Z. Wang, B. O’Gorman, E. G. Rieffel, D. Venturelli, and R. Biswas, “From the Quantum Approximate Optimization Algorithm to a Quantum Alternating Operator Ansatz,” Algorithms, vol. 12, no. 2, p. 34, 2019, doi:10.3390/a12020034.",10.3390/a12020034,From the Quantum Approximate Optimization Algorithm to a Quantum Alternating Operator Ansatz,Stuart Hadfield; Zhihui Wang; Bryan O’Gorman; Eleanor G. Rieffel; Davide Venturelli; Rupak Biswas,2019,Algorithms,,,,
1910.13483_005,1910.13483,"[5] Z. Wang, N. C. Rubin, J. M. Dominy, and E. G. Rieffel, “XY mixers: Analytical and numerical results for the quantum alternating operator ansatz,” Physical Review A, vol. 101, no. 1, p. 012320, 2020, doi:10.1103/PhysRevA.101.012320.",10.1103/physreva.101.012320,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML""><mml:mrow><mml:mi>X</mml:mi><mml:mi>Y</mml:mi></mml:mrow></mml:math>
 mixers: Analytical and numerical results for the quantum alternating operator ansatz",Zhihui Wang; Nicholas C. Rubin; Jason M. Dominy; Eleanor G. Rieffel,2020,Physical Review A,,,,
1910.13483_006,1910.13483,"[6] P. Manurangsi, “A Note on Max k-Vertex Cover: Faster FPT-AS, Smaller Approximate Kernel and Improved Approximation,” in 2nd Symposium on Simplicity in Algorithms, SOSA’19, ser. OASICS, vol. 69, 2019, pp. 15:1–15:21, doi:10.4230/OASIcs.SOSA.2019.15.",,,,2019,,,,,
1910.13483_007,1910.13483,"[7] E. Petrank, “The hardness of approximation: Gap location,” Computational Complexity, vol. 4, no. 2, pp. 133–157, 1994, doi:10.1007/BF01202286.",10.1007/bf01202286,The hardness of approximation: Gap location,Erez Petrank,1994,Computational Complexity,,,,
1910.13483_008,1910.13483,"[8] S. Khot, “On the Power of Unique 2-Prover 1-Round Games,” in 34th Annual ACM Symposium on Theory of Computing, STOC’02, 2002, pp. 767–775, doi:10.1145/509907.510017.",10.1145/509907.510017,On the power of unique 2-prover 1-round games,Subhash Khot,2002,Proceedings of the thiry-fourth annual ACM symposium on Theory of computing,,,,
1910.13483_009,1910.13483,"[9] Z. H. Saleem, “Max-independent set and the quantum alternating opera- tor ansatz,” International Journal of Quantum Information, p. 2050011, 2020, doi:10.1142/S0219749920500112.",10.1142/s0219749920500112,Max-independent set and the quantum alternating operator ansatz,Zain Hamid Saleem,2020,International Journal of Quantum Information,,,,
1910.13483_010,1910.13483,"[10] Y. Zhang, R. Zhang, and A. C. Potter, “QED driven QAOA for network- ﬂow optimization,” arXiv e-prints, 2020, arXiv:2006.09418.",10.1007/978-94-007-7747-7_9392,Zhang Ji (Zhang Zhongjing),Fabrizio Pregadio,2020,"Encyclopaedia of the History of Science, Technology, and Medicine in Non-Western Cultures",,,,
1910.13483_011,1910.13483,"[11] M. Fingerhuth, T. Babej et al., “A quantum alternating operator ansatz with hard and soft constraints for lattice protein folding,” arXiv e-prints, 2018, arXiv:1810.13411.",,,,2018,,,,,
1910.13483_012,1910.13483,"[12] M. Hodson, B. Ruck, H. Ong, D. Garvin, and S. Dulman, “Portfolio re- balancing experiments using the Quantum Alternating Operator Ansatz,” arXiv e-prints, 2019, arXiv:1911.05296.",10.24894/sprengglossarium_r04314,Ruck,,2019,"Johann Jakob Spreng, Allgemeines deutsches Glossarium. Historisch-etymologisches Wörterbuch der deutschen Sprache online",,,,
1910.13483_013,1910.13483,"[13] A. Arrasmith, L. Cincio, R. D. Somma, and P. J. Coles, “Operator Sampling for Shot-frugal Optimization in Variational Algorithms,” arXiv e-prints, 2020, arXiv:2004.06252.",10.1093/gmo/9781561592630.article.26180,"Somma, Antonio",John Black,2020,Oxford Music Online,,,,
1910.13483_014,1910.13483,"[14] E. Farhi, J. Goldstone, S. Gutmann, J. Lapan, A. Lundgren, and D. Preda, “A quantum adiabatic evolution algorithm applied to random instances of an np-complete problem,” Science, vol. 292, no. 5516, pp. 472–475, 2001, doi:10.1126/science.1057726.",10.1126/science.1057726,A Quantum Adiabatic Evolution Algorithm Applied to Random Instances of an NP-Complete Problem,Edward Farhi; Jeffrey Goldstone; Sam Gutmann; Joshua Lapan; Andrew Lundgren; Daniel Preda,2001,Science,,,,
1910.13483_015,1910.13483,"[15] A. Bärtschi and S. Eidenbenz, “Deterministic Preparation of Dicke States,” in 22nd International Symposium on Fundamentals of Com- putation Theory, FCT’19, 2019, pp. 126–139, doi:10.1007/978-3-030- 25027-0_9.",,,,2019,,,,,
1910.13483_016,1910.13483,"[16] M. Mosca and P. Kaye, “Quantum Networks for Generating Arbitrary Quantum States,” in Optical Fiber Communication Conference and International Conference on Quantum Information ICQI, Jun 2001, p. PB28, doi:10.1364/ICQI.2001.PB28.",10.1364/icqi.2001.pb28,Quantum Networks for Generating Arbitrary Quantum States,Michele Mosca; Phillip Kaye,2001,Optical Fiber Communication Conference and International Conference on Quantum Information,,,,
1910.13483_017,1910.13483,"[17] A. M. Childs, E. Farhi, J. Goldstone, and S. Gutmann, “Finding cliques by quantum adiabatic evolution,” Quantum Information & Computation, vol. 2, no. 3, pp. 181–191, Apr 2002, doi:10.26421/QIC2.3.",10.26421/qic2.3,,,2002,Quantum Information and Computation,,,,
1910.13483_018,1910.13483,"[18] H. Wang, S. Ashhab, and F. Nori, “Efﬁcient quantum algorithm for preparing molecular-system-like states on a quantum com- puter,” Physical Review A, vol. 79, no. 4, p. 042335, 2009, doi:10.1103/PhysRevA.79.042335.",10.1103/physreva.79.042335,Efficient quantum algorithm for preparing molecular-system-like states on a quantum computer,Hefeng Wang; S. Ashhab; Franco Nori,2009,Physical Review A,,,,
1910.13483_019,1910.13483,"[19] D. Cruz, R. Fournier, F. Gremion, A. Jeannerot, K. Komagata, T. Tosic, J. Thiesbrummel, C. L. Chan, N. Macris, M.-A. Dupertuis, and C. Javerzac-Galy, “Efﬁcient Quantum Algorithms for GHZ and W States, and Implementation on the IBM Quantum Computer,” Ad- vanced Quantum Technologies, vol. 2, no. 5–6, p. 1900015, 2019, doi:10.1002/qute.201900015.",10.1002/qute.201900015,"Efficient Quantum Algorithms for GHZ and
                    <i>W</i>
                    States, and Implementation on the IBM Quantum Computer",Diogo Cruz; Romain Fournier; Fabien Gremion; Alix Jeannerot; Kenichi Komagata; Tara Tosic; Jarla Thiesbrummel; Chun Lam Chan; Nicolas Macris; Marc‐André Dupertuis; Clément Javerzac‐Galy,2019,Advanced Quantum Technologies,,,,
1910.13483_020,1910.13483,"[20] A. E. Brouwer, S. M. Cioab˘a, F. Ihringer, and M. McGinnis, “The smallest eigenvalues of Hamming graphs, Johnson graphs and other distance-regular graphs with classical parameters,” Jour- nal of Combinatorial Theory, Series B, vol. 133, pp. 88–121, 2018, doi:10.1016/j.jctb.2018.04.005.",10.1016/j.jctb.2018.04.005,"The smallest eigenvalues of Hamming graphs, Johnson graphs and other distance-regular graphs with classical parameters",Andries E. Brouwer; Sebastian M. Cioabă; Ferdinand Ihringer; Matt McGinnis,2018,"Journal of Combinatorial Theory, Series B",,,,
1910.13483_021,1910.13483,"[21] D. W. Berry and A. M. Childs, “Black-Box Hamiltonian Simulation and Unitary Implementation,” Quantum Information & Computation, vol. 12, no. 1–2, pp. 29–62, 2012, doi:10.26421/QIC12.1-2.",10.26421/qic12.1-2,,,2012,Quantum Information and Computation,,,,
1910.13483_022,1910.13483,"[22] Z. Wang, S. Hadﬁeld, Z. Jiang, and E. G. Rieffel, “Quantum approximate optimization algorithm for MaxCut: A fermionic view,” Physical Review A, vol. 97, p. 022304, 2018, doi:10.1103/PhysRevA.97.022304.",10.1103/physreva.97.022304,Quantum approximate optimization algorithm for MaxCut: A fermionic view,Zhihui Wang; Stuart Hadfield; Zhang Jiang; Eleanor G. Rieffel,2018,Physical Review A,,,,
1910.13483_023,1910.13483,"[23] B. Olson, I. Hashmi, K. Molloy, and A. Shehu, “Basin Hopping as a General and Versatile Optimization Framework for the Characterization of Biological Macromolecules,” Advances in Artiﬁcial Intelligence, vol. 2012, p. 674832, 2012, doi:10.1155/2012/674832.",10.1155/2012/674832,Basin Hopping as a General and Versatile Optimization Framework for the Characterization of Biological Macromolecules,Brian Olson; Irina Hashmi; Kevin Molloy; Amarda Shehu,2012,Advances in Artificial Intelligence,,,,
1910.13483_024,1910.13483,"[24] L. Zhou, S.-T. Wang, S. Choi, H. Pichler, and M. D. Lukin, “Quantum Approximate Optimization Algorithm: Performance, Mechanism, and Implementation on Near-Term Devices,” Physical Review X, vol. 10, no. 2, p. 021067, 2020, doi:10.1103/PhysRevX.10.021067.",10.1103/physrevx.10.021067,"Quantum Approximate Optimization Algorithm: Performance, Mechanism, and Implementation on Near-Term Devices",Leo Zhou; Sheng-Tao Wang; Soonwon Choi; Hannes Pichler; Mikhail D. Lukin,2020,Physical Review X,,,,
1910.13483_025,1910.13483,"[25] G. B. Mbeng, R. Fazio, and G. Santoro, “Quantum Annealing: a journey through Digitalization, Control, and hybrid Quantum Variational schemes,” arXiv e-prints, 2019, arXiv:1906.08948.",10.1093/benz/9780199773787.article.b00062321,Fazio (Fra),,2019,Benezit Dictionary of Artists,,,,
1910.13483_026,1910.13483,"[26] Z.-C. Yang, A. Rahmani, A. Shabani, H. Neven, and C. Chamon, “Optimizing Variational Quantum Algorithms Using Pontryagin’s Min- imum Principle,” Physical Review X, vol. 7, no. 2, p. 021027, 2017, doi:10.1103/physrevx.7.021027.",10.1103/physrevx.7.021027,Optimizing Variational Quantum Algorithms Using Pontryagin’s Minimum Principle,Zhi-Cheng Yang; Armin Rahmani; Alireza Shabani; Hartmut Neven; Claudio Chamon,2017,Physical Review X,,,,
1910.13483_027,1910.13483,"[27] L. T. Brady, C. L. Baldwin, A. Bapat, Y. Kharkov, and A. V. Gorshkov, “Optimal Protocols in Quantum Annealing and QAOA Problems,” arXiv e-prints, 2020, arXiv:2003.08952.",10.1093/ejcts/ezr036,Reply to Attia and Bapat,N. Al-Attar; S. Alkhoder; P. Nataf,2020,European Journal of Cardio-Thoracic Surgery,,,,
1910.13483_028,1910.13483,"[28] V. Akshay, H. Philathong, M. E. S. Morales, and J. D. Bia- monte, “Reachability Deﬁcits in Quantum Approximate Optimiza- tion,” Physical Review Letters, vol. 124, no. 9, p. 090504, 2020, doi:10.1103/PhysRevLett.124.090504.",10.1103/physrevlett.124.090504,Reachability Deficits in Quantum Approximate Optimization,V. Akshay; H. Philathong; M. E. S. Morales; J. D. Biamonte,2020,Physical Review Letters,,,,
1910.13483_029,1910.13483,"[29] A. Bärtschi and S. Eidenbenz, “Grover Mixers for QAOA: Shifting Complexity from Mixer Design to State Preparation,” in IEEE Inter- national Conference on Quantum Computing & Engineering, QCE’20, 2020, arXiv:2006.00354.",,,,2020,,,,,
1910.13483_030,1910.13483,"[30] L. K. Grover, “Fixed-Point Quantum Search,” Physical Review Letters, vol. 95, no. 15, p. 150501, 2005, doi:10.1103/PhysRevLett.95.150501.",10.1103/physrevlett.95.150501,Fixed-Point Quantum Search,Lov K. Grover,2005,Physical Review Letters,,,,
1910.13483_031,1910.13483,"[31] T. J. Yoder, G. H. Low, and I. L. Chuang, “Fixed-Point Quantum Search with an Optimal Number of Queries,” Physical Review Letters, vol. 113, no. 21, p. 210501, 2014, doi:10.1103/PhysRevLett.113.210501.",10.1103/physrevlett.113.210501,Fixed-Point Quantum Search with an Optimal Number of Queries,Theodore J. Yoder; Guang Hao Low; Isaac L. Chuang,2014,Physical Review Letters,,,,
1910.13483_032,1910.13483,"[32] G. E. Crooks, “Performance of the Quantum Approximate Optimiza- tion Algorithm on the Maximum Cut Problem,” arXiv e-prints, 2018, arXiv:1811.08419.",,,,2018,,,,,
2005.14165_001,2005.14165,"References [ADG+16] Marcin Andrychowicz, Misha Denil, Sergio Gomez, Matthew W Hoffman, David Pfau, Tom Schaul, Brendan Shillingford, and Nando De Freitas. Learning to learn by gradient descent by gradient descent. In Advances in neural information processing systems, pages 3981–3989, 2016. [AI19] WeChat AI. Tr-mt (ensemble), December 2019. [AJF19] Roee Aharoni, Melvin Johnson, and Orhan Firat. Massively multilingual neural machine translation. In Proceedings of the 2019 Conference of the North A",10.37417/rivitsproc/799,A Sergio Chiarloni (16-1-2022),Jordi Nieva Fenoll,2022,Revista Ítalo-española de Derecho procesal,,,,
2005.14165_002,2005.14165,"Linguistics: Human Language Technologies, Volume 1 (Long and Short Papers), 2019. [BBDIW20] Su Lin Blodgett, Solon Barocas, Hal Daum´e III, and Hanna Wallach. Language (technology) is power: A critical survey of “bias” in nlp. arXiv preprint arXiv:2005.14050, 2020. [BCFL13] Jonathan Berant, Andrew Chou, Roy Frostig, and Percy Liang. Semantic parsing on freebase from question-answer pairs. In Proceedings of the 2013 conference on empirical methods in natural language processing, pages 1533–1544, ",10.18653/v1/n18-1,"Proceedings of the 2018 Conference of the North American Chapter of
          the Association for Computational Linguistics: Human Language
          Technologies, Volume 1 (Long Papers)",,2018,,,,,
2005.14165_003,2005.14165,"Lapata, Angeliki Lazaridou, Jonathan May, Aleksandr Nisnevich, et al. Experience grounds language. arXiv preprint arXiv:2004.10151, 2020. [BLC13] Yoshua Bengio, Nicholas L´eonard, and Aaron C. Courville. Estimating or propagating gradients through stochastic neurons for conditional computation. Arxiv, 2013. [BZB+19] Yonatan Bisk, Rowan Zellers, Ronan Le Bras, Jianfeng Gao, and Yejin Choi. Piqa: Reasoning about physical commonsense in natural language. arXiv preprint arXiv:1911.11641, 2019. [Car9",10.1093/gmo/9781561592630.article.48793,"Nisnevich, Sima Gerasimovna",Taisiya Shcherbakova,2017,Oxford Music Online,,,,
2005.14165_004,2005.14165,"Mostofa Ali Patwary, Yang Yang, and Yanqi Zhou. Deep learning scaling is predictable, empirically. arXiv preprint arXiv:1712.00409, 2017. [HR18] Jeremy Howard and Sebastian Ruder. Universal language model ﬁne-tuning for text classiﬁcation. arXiv preprint arXiv:1801.06146, 2018. [HVD15] Geoffrey Hinton, Oriol Vinyals, and Jeff Dean. Distilling the knowledge in a neural network. arXiv preprint arXiv:1503.02531, 2015. [HYC01] Sepp Hochreiter, A Steven Younger, and Peter R Conwell. Learning to Learn",10.1093/benz/9780199773787.article.b00200119,Yang Zhou,,2017,Benezit Dictionary of Artists,,,,
2005.14165_005,2005.14165,"Gray, Alec Radford, Jeffrey Wu, and Dario Amodei. Scaling laws for neural language models, 2020. [KPR+19] Tom Kwiatkowski, Jennimaria Palomaki, Olivia Redﬁeld, Michael Collins, Ankur Parikh, Chris Alberti,",10.1002/9781118970843.ch259,Jeffrey A. Gray,James Kean,2020,The Wiley Encyclopedia of Personality and Individual Differences,,,,
2005.14165_006,2005.14165,"Danielle Epstein, Illia Polosukhin, Matthew Kelcey, Jacob Devlin, Kenton Lee, Kristina N. Toutanova,",10.4324/9781003291282-17,Jacob Epstein,John Wilson,2022,The Faith of an Artist,,,,
2005.14165_007,2005.14165,"Llion Jones, Ming-Wei Chang, Andrew Dai, Jakob Uszkoreit, Quoc Le, and Slav Petrov. Natural ques- tions: a benchmark for question answering research. Transactions of the Association of Computational Linguistics, 2019. [KR16] Yoon Kim and Alexander M. Rush. Sequence-level knowledge distillation. Arxiv, 2016. [LB02] Edward Loper and Steven Bird. Nltk: The natural language toolkit, 2002. [LC19] Guillaume Lample and Alexis Conneau. Cross-lingual language model pretraining. arXiv preprint arXiv:1901.",10.1136/bjsm.2006.032102,Andrew Jones,,2007,British Journal of Sports Medicine,,,,
2005.14165_008,2005.14165,"Heinrich K¨uttler, Mike Lewis, Wen-tau Yih, Tim Rockt¨aschel, Sebastian Riedel, and Kiela Douwe. Retrieval-augmented generation for knowledge-intensive nlp tasks. arXiv preprint arXiv:2005.11401, 2020. [LSP+18] Peter J. Liu, Mohammad Saleh, Etienne Pot, Ben Goodrich, Ryan Sepassi, Lukasz Kaiser, and Noam Shazeer. Generating Wikipedia by summarizing long sequences. arXiv preprint arXiv:1801.10198, 2018. [LWS+20] Zhuohan Li, Eric Wallace, Sheng Shen, Kevin Lin, Kurt Keutzer, Dan Klein, and Joseph ",,,,,,,,,
2005.14165_009,2005.14165,"Elena Spitzer, Inioluwa Deborah Raji, and Timnit Gebru. Model cards for model reporting, 2018. [NBR20] Moin Nadeem, Anna Bethke, and Siva Reddy. Stereoset: Measuring stereotypical bias in pretrained language models. arXiv preprint arXiv:2004.09456, 2020. [NK19] Timothy Niven and Hung-Yu Kao. Probing neural network comprehension of natural language arguments. arXiv preprint arXiv:1907.07355, 2019. [Nor09] Peter Norvig. Natural language corpus data, 2009. [NvNvdG19] Malvina Nissim, Rik van Noord, ",10.1038/scientificamerican072026-24bmp8k8oxjgenx84ekr7a,Timnit Gebru,Megha Satyanarayana,2026,Scientific American,,,,
2005.14165_010,2005.14165,"Pezzelle, Marco Baroni, Gemma Boleda, and Raquel Fern´andez. The lambada dataset: Word prediction requiring a broad discourse context. arXiv preprint arXiv:1606.06031, 2016. [PNZtY18] Matthew E. Peters, Mark Neumann, Luke Zettlemoyer, and Wen tau Yih. Dissecting contextual word embeddings: Architecture and representation, 2018. [Pos18] Matt Post. A call for clarity in reporting BLEU scores. arXiv preprint arXiv:1804.08771, 2018. 72 [PSM14] Jeffrey Pennington, Richard Socher, and Christopher Mann",,,,,,,,,
2005.14165_011,2005.14165,"Zhou, Wei Li, and Peter J. Liu. Exploring the limits of transfer learning with a uniﬁed text-to-text transformer, 2019. [RWC+19] Alec Radford, Jeffrey Wu, Rewon Child, David Luan, Dario Amodei, and Ilya Sutskever. Language models are unsupervised multitask learners, 2019. [SBBC19] Keisuke Sakaguchi, Ronan Le Bras, Chandra Bhagavatula, and Yejin Choi. Winogrande: An adversarial winograd schema challenge at scale, 2019. [SBC+19] Irene Solaiman, Miles Brundage, Jack Clark, Amanda Askell, Ariel Herb",10.4159/harvard.9780674598898.c13,Li Wei-han – Liu Hsiu-feng,,2014,Ai Szu-ch'i-Lo I-nung,,,,
2005.14165_012,2005.14165,"Gretchen Krueger, Jong Wook Kim, Sarah Kreps, Miles McCain, Alex Newhouse, Jason Blazakis, Kris McGufﬁe, and Jasmine Wang. Release strategies and the social impacts of language models, 2019. [SCNP19] Emily Sheng, Kai-Wei Chang, Premkumar Natarajan, and Nanyun Peng. The woman worked as a babysitter: On biases in language generation. arXiv preprint arXiv:1909.01326, 2019. [SDCW19] Victor Sanh, Lysandre Debut, Julien Chaumond, and Thomas Wolf. DistilBERT, a distilled version of BERT: smaller, faste",10.1136/bmj.332.7553.1337,Lee Jong-wook,,2006,BMJ,,,,
2005.14165_013,2005.14165,"Lingpeng Kong, Angeliki Lazaridou, Wang Ling, Lei Yu, Chris Dyer, et al. Learning and evaluating general linguistic intelligence. arXiv preprint arXiv:1901.11373, 2019. [YDY+19] Zhilin Yang, Zihang Dai, Yiming Yang, Jaime Carbonell, Ruslan Salakhutdinov, and Quoc V. Le. XLNet: Generalized autoregressive pretraining for language understanding. arXiv preprint arXiv:1906.08237, 2019. [ZHB+19] Rowan Zellers, Ari Holtzman, Yonatan Bisk, Ali Farhadi, and Yejin Choi. Hellaswag: Can a machine really ﬁni",10.1017/cbo9781316151396.119,<i>In re</i> Wang-Yu-Kong.,,2015,Annual Digest and Reports of Public International Law Cases,,,,
2303.17580_001,2303.17580,"[1] Tom B. Brown, Benjamin Mann, Nick Ryder, Melanie Subbiah, Jared Kaplan, Prafulla Dhariwal, Arvind Neelakantan, Pranav Shyam, Girish Sastry, Amanda Askell, Sandhini Agarwal, Ariel Herbert-Voss, Gretchen Krueger, Tom Henighan, Rewon Child, Aditya Ramesh, Daniel M. Ziegler, Jeffrey Wu, Clemens Winter, Christopher Hesse, Mark Chen, Eric Sigler, Mateusz Litwin, Scott Gray, Benjamin Chess, Jack Clark, Christopher Berner, Sam McCandlish, Alec Radford, Ilya Sutskever, and Dario Amodei. Language Mode",10.2307/25143651,Tom Mann,Melvyn Dubofsky; Joseph White,2020,Labour / Le Travail,,,,
2303.17580_002,2303.17580,"[2] Long Ouyang, Jeff Wu, Xu Jiang, Diogo Almeida, Carroll L. Wainwright, Pamela Mishkin, Chong Zhang, Sandhini Agarwal, Katarina Slama, Alex Ray, John Schulman, Jacob Hilton, Fraser Kelton, Luke Miller, Maddie Simens, Amanda Askell, Peter Welinder, Paul F. Christiano, Jan Leike, and Ryan Lowe. Training language models to follow instructions with human feedback. CoRR, abs/2203.02155, 2022.",10.2307/j.ctv1cmsmtm.11,Jiang Shiquan and Xu Xi:,,2022,Transmutations of Desire,,,,
2303.17580_003,2303.17580,"[3] Aakanksha Chowdhery, Sharan Narang, Jacob Devlin, Maarten Bosma, Gaurav Mishra, Adam Roberts, Paul Barham, Hyung Won Chung, Charles Sutton, Sebastian Gehrmann, and others. Palm: Scaling language modeling with pathways. ArXiv, abs/2204.02311, 2022.",10.1163/9789004613300_002,Jacob Maarten van Bemmelen,D. Wiersma,2022,Le Droit pénal international,,,,
2303.17580_004,2303.17580,"[4] Susan Zhang, Stephen Roller, Naman Goyal, Mikel Artetxe, Moya Chen, Shuohui Chen, Christopher Dewan, Mona Diab, Xian Li, Xi Victoria Lin, Todor Mihaylov, Myle Ott, Sam Shleifer, Kurt Shuster, Daniel Simig, Punit Singh Koura, Anjali Sridhar, Tianlu Wang, and Luke Zettlemoyer. Opt: Open Pre-trained Transformer Language Models. ArXiv, abs/2205.01068, 2022.",10.24894/sprengglossarium_n00767,naman,,2022,"Johann Jakob Spreng, Allgemeines deutsches Glossarium. Historisch-etymologisches Wörterbuch der deutschen Sprache online",,,,
2303.17580_005,2303.17580,"[5] Aohan Zeng, Xiao Liu, Zhengxiao Du, Zihan Wang, Hanyu Lai, Ming Ding, Zhuoyi Yang, Yifan Xu, Wendi Zheng, Xiao Xia, Weng Lam Tam, Zixuan Ma, Yufei Xue, Jidong Zhai, Wenguang Chen, Zhiyuan Liu, Peng Zhang, Yuxiao Dong, and Jie Tang. Glm-130b: An Open Bilingual Pre-trained Model. ICLR 2023 poster, 2023.",10.7312/zhu-16090-007,Xiao Liu,,2023,"The Matchmaker, the Apprentice, and the Football Fan",,,,
2303.17580_006,2303.17580,"[6] Hugo Touvron, Thibaut Lavril, Gautier Izacard, Xavier Martinet, Marie-Anne Lachaux, Timo- thée Lacroix, Baptiste Rozière, Naman Goyal, Eric Hambro, Faisal Azhar, Aur’elien Rodriguez, Armand Joulin, Edouard Grave, and Guillaume Lample. Llama: Open and Efficient Foundation Language Models. ArXiv, abs/2302.13971, 2023.",10.3917/chaso.geisl.2023.01,Gautier / Hugo,,2023,,,,,
